Falling in love activates the same brain areas ,as cocaine addiction.
Oxytocin the "love hormone" is released during intimate moments ,like hugging and kissing.
Eye contact promotes attraction and connection ,by releasing oxytocin.
Love at first sight ,is a real phenomenon.
Being in love lowers ,stress and anxiety.
Holding hands with someone you love ,can reduce physical pain.
Love can boost your immune system ,and help you recover from illness faster.
A long-lasting relationship can increase ,life expectancy.
Romantic love can activate the reward centers in the brain ,leading to feelings of pleasure and happiness.
Sharing new experiences with someone you love ,can strengthen your bond.
